
(Data Type);Date;Day;DayOfWeek;DayOfYear;Hour;Kind;Millisecond;Minute;Month;Second;Ticks;TimeOfDay;Year
DateTime;01.01.2020;1;Wednesday;1;0;Unspecified;0;0;1;0;637134336000000000;00:00:00;2020
DateTime;02.01.2020;2;Thursday;2;0;Unspecified;0;0;1;0;637135200000000000;00:00:00;2020
DateTime;03.01.2020;3;Friday;3;0;Unspecified;0;0;1;0;637136064000000000;00:00:00;2020
DateTime;04.01.2020;4;Saturday;4;0;Unspecified;0;0;1;0;637136928000000000;00:00:00;2020
DateTime;05.01.2020;5;Sunday;5;0;Unspecified;0;0;1;0;637137792000000000;00:00:00;2020
DateTime;06.01.2020;6;Monday;6;0;Unspecified;0;0;1;0;637138656000000000;00:00:00;2020
DateTime;07.01.2020;7;Tuesday;7;0;Unspecified;0;0;1;0;637139520000000000;00:00:00;2020
DateTime;08.01.2020;8;Wednesday;8;0;Unspecified;0;0;1;0;637140384000000000;00:00:00;2020
DateTime;11.01.2020;11;Saturday;11;0;Unspecified;0;0;1;0;637142976000000000;00:00:00;2020
DateTime;12.01.2020;12;Sunday;12;0;Unspecified;0;0;1;0;637143840000000000;00:00:00;2020
DateTime;18.01.2020;18;Saturday;18;0;Unspecified;0;0;1;0;637149024000000000;00:00:00;2020
DateTime;19.01.2020;19;Sunday;19;0;Unspecified;0;0;1;0;637149888000000000;00:00:00;2020
DateTime;25.01.2020;25;Saturday;25;0;Unspecified;0;0;1;0;637155072000000000;00:00:00;2020
DateTime;26.01.2020;26;Sunday;26;0;Unspecified;0;0;1;0;637155936000000000;00:00:00;2020
DateTime;01.02.2020;1;Saturday;32;0;Unspecified;0;0;2;0;637161120000000000;00:00:00;2020
DateTime;02.02.2020;2;Sunday;33;0;Unspecified;0;0;2;0;637161984000000000;00:00:00;2020
DateTime;08.02.2020;8;Saturday;39;0;Unspecified;0;0;2;0;637167168000000000;00:00:00;2020
DateTime;09.02.2020;9;Sunday;40;0;Unspecified;0;0;2;0;637168032000000000;00:00:00;2020
DateTime;15.02.2020;15;Saturday;46;0;Unspecified;0;0;2;0;637173216000000000;00:00:00;2020
DateTime;16.02.2020;16;Sunday;47;0;Unspecified;0;0;2;0;637174080000000000;00:00:00;2020
DateTime;22.02.2020;22;Saturday;53;0;Unspecified;0;0;2;0;637179264000000000;00:00:00;2020
